car_make,car_model,car_age,engine,fuel_type,kilometers_driven,location,mileage,power,region,seats,transmission,price_rupees
AMBASSADOR,CLASSIC,16,1489.0,Diesel,80000,Chennai,12.8,35.5,South,5.0,Manual,135000.0
AUDI,A3,5,1968.0,Diesel,79271,Chennai,20.38,143.0,South,5.0,Automatic,1650000.0
AUDI,A3,2,1968.0,Diesel,22000,Delhi,20.38,143.0,North,5.0,Automatic,2250000.0
AUDI,A3,3,1968.0,Diesel,20003,Mumbai,20.38,143.0,West,5.0,Automatic,1925000.0
AUDI,A3,3,1968.0,Diesel,39000,Mumbai,20.38,143.0,West,5.0,Automatic,1889999.9999999998
AUDI,A4,6,1968.0,Diesel,40670,Coimbatore,15.2,140.8,South,5.0,Automatic,1773999.9999999998
AUDI,A4,4,1968.0,Diesel,13648,Kochi,17.11,174.33,South,5.0,Automatic,2143000.0
AUDI,A4,7,1968.0,Diesel,65664,Jaipur,16.55,140.0,North,5.0,Automatic,1350000.0
AUDI,A4,9,2967.0,Diesel,30000,Kolkata,14.94,241.4,East,5.0,Automatic,980000.0000000001
AUDI,A4,4,1968.0,Diesel,48214,Coimbatore,17.11,174.33,South,5.0,Automatic,2332000.0
AUDI,A4,6,1968.0,Diesel,45979,Bangalore,17.11,174.33,South,5.0,Automatic,1950000.0
AUDI,A4,8,1968.0,Diesel,46000,Delhi,16.55,147.51,North,5.0,Automatic,1099000.0
AUDI,A4,7,1968.0,Diesel,47346,Kolkata,16.55,147.51,East,5.0,Automatic,1450000.0
AUDI,A4,8,1968.0,Diesel,59000,Ahmedabad,16.55,140.0,West,5.0,Automatic,1250000.0
AUDI,A4,10,1968.0,Diesel,34000,Kolkata,16.55,147.51,East,5.0,Automatic,994999.9999999999
AUDI,A4,4,1968.0,Diesel,45000,Hyderabad,18.25,187.74,South,5.0,Automatic,2500000.0
AUDI,A4,5,1968.0,Diesel,77395,Kochi,17.11,174.33,South,5.0,Automatic,1435000.0
AUDI,A4,6,1968.0,Diesel,36000,Delhi,16.55,147.51,North,5.0,Automatic,1400000.0
AUDI,A4,3,1968.0,Diesel,68193,Coimbatore,17.11,174.33,South,5.0,Automatic,2474000.0
AUDI,A4,5,1968.0,Diesel,21000,Bangalore,17.11,174.33,South,5.0,Automatic,2450000.0
AUDI,A4,7,1968.0,Diesel,60000,Delhi,15.2,140.8,North,5.0,Automatic,1035000.0
AUDI,A4,7,2967.0,Diesel,46913,Coimbatore,14.94,241.4,South,5.0,Automatic,1611000.0
AUDI,A4,6,1968.0,Diesel,45330,Kochi,16.55,147.51,South,5.0,Automatic,1319000.0
AUDI,A4,5,1968.0,Diesel,70000,Chennai,17.11,174.33,South,5.0,Automatic,1800000.0
AUDI,A4,6,1968.0,Diesel,82002,Ahmedabad,16.55,147.51,West,5.0,Automatic,1750000.0
AUDI,A4,7,1968.0,Diesel,44555,Delhi,15.2,140.8,North,5.0,Automatic,1350000.0
AUDI,A4,6,1968.0,Diesel,67000,Delhi,16.55,147.51,North,5.0,Automatic,1450000.0
AUDI,A4,5,1968.0,Diesel,24000,Bangalore,17.11,174.33,South,5.0,Automatic,2500000.0
AUDI,A4,8,1968.0,Diesel,105000,Jaipur,16.55,140.0,North,5.0,Automatic,1450000.0
AUDI,A4,6,1968.0,Diesel,45200,Mumbai,16.55,147.51,West,5.0,Automatic,1350000.0
AUDI,A4,4,1968.0,Diesel,50000,Hyderabad,17.11,174.33,South,5.0,Automatic,2500000.0
AUDI,A4,8,1984.0,Petrol,38000,Mumbai,10.8,132.0,West,5.0,Automatic,1200000.0
AUDI,A4,5,1968.0,Diesel,60000,Hyderabad,16.55,147.51,South,5.0,Automatic,2400000.0
AUDI,A4,6,1968.0,Diesel,87000,Pune,17.11,174.33,West,5.0,Automatic,1550000.0
AUDI,A4,8,1968.0,Diesel,85000,Hyderabad,16.55,147.51,South,5.0,Automatic,1395000.0
AUDI,A4,3,1968.0,Diesel,11000,Chennai,17.11,174.33,South,5.0,Automatic,2800000.0
AUDI,A4,3,1968.0,Diesel,39644,Coimbatore,17.11,174.33,South,5.0,Automatic,2575000.0
AUDI,A4,4,1968.0,Diesel,21979,Coimbatore,17.11,174.33,South,5.0,Automatic,2345000.0
AUDI,A4,5,1968.0,Diesel,57773,Coimbatore,17.11,174.33,South,5.0,Automatic,2004000.0
AUDI,A4,9,1781.0,Petrol,38001,Kolkata,12.3,163.2,East,5.0,Automatic,850000.0
AUDI,A4,5,1968.0,Diesel,53000,Hyderabad,16.55,140.0,South,5.0,Automatic,2050000.0
AUDI,A4,4,1968.0,Diesel,32205,Coimbatore,17.11,174.33,South,5.0,Automatic,2531000.0
AUDI,A4,2,1395.0,Petrol,61221,Kochi,17.84,147.51,South,5.0,Automatic,2173000.0
AUDI,A4,7,1968.0,Diesel,69000,Delhi,15.2,140.8,North,5.0,Automatic,1025000.0
AUDI,A4,6,1968.0,Diesel,60001,Kolkata,17.11,174.33,East,5.0,Automatic,1450000.0
AUDI,A4,8,1781.0,Petrol,53000,Mumbai,12.3,163.2,West,5.0,Automatic,950000.0
